County, FIPS,"Age",Lower,Upper 95%,AverageAnnual,Recent Trend,5-Year,LowerConfidenceInterval,UpperConfidenceInterval
"Autauga County, Alabama(6,10)",1001,74.9,65.1,85.7,43,stable,0.5,-14.9,18.6
"Baldwin County, Alabama(6,10)",1003,66.9,62.4,71.7,170,stable,3,-10.2,18.3
"Barbour County, Alabama(6,10)",1005,74.6,61.8,89.4,25,stable,-6.4,-18.3,7.3
"Bibb County, Alabama(6,10)",1007,86.4,71,104.2,23,stable,-4.5,-31.4,32.9
"Blount County, Alabama(6,10)",1009,69.7,61.2,79,51,stable,-13.6,-27.8,3.4
"Bullock County, Alabama(6,10)",1011,65.8,47.3,89.6,9,stable,7.2,-27.6,58.7
"Butler County, Alabama(6,10)",1013,58.3,46.4,72.7,17,stable,2,-10.7,16.6
"Calhoun County, Alabama(6,10)",1015,84.2,77.5,91.3,120,stable,-3.8,-13.9,7.5
"Chambers County, Alabama(6,10)",1017,75.4,64.4,87.9,34,falling,-7.9,-8.5,-7.3
"Cherokee County, Alabama(6,10)",1019,82.4,69.8,96.9,32,stable,7.1,-13,31.7
"Chilton County, Alabama(6,10)",1021,73.9,63.7,85.4,39,stable,-0.2,-17.6,20.8
"Choctaw County, Alabama(6,10)",1023,49.2,36.3,66,10,stable,9.7,-31.4,75.3
"Clarke County, Alabama(6,10)",1025,69.5,57.3,83.7,23,stable,-1.3,-12.4,11.1
"Clay County, Alabama(6,10)",1027,83.3,65.8,104.5,16,stable,-13.8,-30.7,7.2
"Cleburne County, Alabama(6,10)",1029,74.9,58.1,95.4,14,stable,4.8,-20.1,37.4
"Coffee County, Alabama(6,10)",1031,71.5,62.3,81.9,43,stable,-7.2,-20,7.6
"Colbert County, Alabama(6,10)",1033,75.9,67.2,85.5,57,stable,-4.4,-15.6,8.3
"Conecuh County, Alabama(6,10)",1035,73.5,57.1,93.8,14,stable,-9.7,-41.4,39.2
"Coosa County, Alabama(6,10)",1037,82.6,63.9,106,14,stable,-11.5,-43.5,38.7
"Covington County, Alabama(6,10)",1039,83,72.3,95.1,44,stable,5.7,-11.2,25.9
"Crenshaw County, Alabama(6,10)",1041,61.5,46.3,80.6,11,stable,14.7,-21.8,68.4
"Cullman County, Alabama(6,10)",1043,69.6,62.6,77.3,73,stable,-2.2,-20.4,20.3
"Dale County, Alabama(6,10)",1045,76.7,66.7,87.7,44,stable,-3.2,-11.4,5.7
"Dallas County, Alabama(6,10)",1047,76.2,65.6,88,39,stable,7.4,-16.9,38.8
"DeKalb County, Alabama(6,10)",1049,60.8,53.5,68.9,51,stable,-2.1,-11.9,8.8
"Elmore County, Alabama(6,10)",1051,78.1,69.7,87.2,66,stable,-3.4,-13.9,8.4
"Escambia County, Alabama(6,10)",1053,75.5,64.8,87.6,36,stable,0,-21.5,27.2
"Etowah County, Alabama(6,10)",1055,81.9,75.1,89.1,110,stable,-0.1,-9.8,10.6
"Fayette County, Alabama(6,10)",1057,77.3,62.3,95.3,19,stable,-6.1,-36.5,38.8
